comment,replies,date,user_name
"I Know his is. Super old HOWEVER, I come thru hear at least 2times a week just for DONNY LONG😂😂😂😂😂😏😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 CAUSE HE IS BACK 😂😂😂😂😂😂😂",[],2022-09-23T22:55:24Z,@kenia5507
"Really makes me sad to see all the people who turned Mike into the man he became after the good people around him died, and Don King influenced him to fire Kevin Rooney, who was doing great work keeping Tyson on the right path after Cus passed.  There is only so much one man like Rooney can do though when the final decisions rest with Mike.",[],2022-09-23T15:39:56Z,@casedistorted
9:40 is just brutal beyond words. Makes my teeth hurt.,[],2022-09-21T19:36:40Z,@SpecialAgentBillMaxwell
"Tyson would have gone down as the absolute best boxer ever, had his father figure not passed away.",[],2022-09-18T19:19:31Z,@movmentztv5189
@10:03 Mike literally knocked him out then proceeded to clean his clock 2 MORE additional times before he could drop to the floor 😂😂😂😂😂😂😂😂😂😂,[],2022-09-10T04:47:06Z,@OGrogerthat1400
Iron mike tyson,[],2022-09-10T03:43:03Z,@robertjackson7538
That was really well put together.,[],2022-09-08T09:07:54Z,@chaos4316
Don King smh,[],2022-09-06T23:30:24Z,@patricklemire9278
I think Tyson would’ve beaten Ali,"['Absolutely lol', ""Nah he won't"", 'Nope', 'Without a doubt. Ali took too many punches 😔 n his defensive style. Rope a doping Tyson would be suicide. Frazer and then were stuck in the mud compared to Tyson. I just wish Tyson and Razor would have gotten to go off.']",2022-09-06T03:49:05Z,@mnreddy6443
Tyson still has it. Dude is the GOAT of boxing.,[],2022-09-03T01:09:15Z,@ADogInSoup
Greatness,[],2022-08-30T06:37:28Z,@brightntuliart
Some of these knockouts are legitimately scary,[],2022-08-27T14:10:43Z,@henryross481
Joe Vincent man teach me your magic this shit is BEAUTIFUL,[],2022-08-26T03:53:31Z,@MikeRen1995
"Ok I’ll tell my secret now. I’m from alternate universe, where Cus never died, and Tyson went undefeated 78-0, with 70 KOs",[],2022-08-21T21:32:46Z,@iceparadox369
Damn this was well done!,[],2022-08-19T13:29:27Z,@danieljoseph255
I ain’t gone lie.. Holyfield was known for head butting.,[],2022-08-19T03:48:38Z,@jaevoningram
the left hook to the kidney holy fuck,[],2022-08-17T12:55:49Z,@dmer2130
It really is a bit scary that a man can be so damn lethal. He's a 1 percenter.,[],2022-08-17T06:48:09Z,@rj4035
If cus lived a couple more years..,[],2022-08-14T13:50:08Z,@dudidude3424
No one hit harder than Iron Mike did in his prime!,[],2022-08-09T07:24:05Z,@johncave3334
"Loving 5:40 Music, tone, atmosphere…",[],2022-08-07T21:44:31Z,@alexshank1414
"Mike Tyson is, and will forever be, the greatest boxing champ of them all, because, not only did he fight in the ring, but, he fought, and will fight against the monsters inside him, and the pain of the life he has lived, forever. All love and respect to Mike, and Cus, who cared enough to help a poor kid on his was down to nothing, and instead of just letting that happen, instilled this idea, that he could be a better boxer, and Man, than anyone ever cared to believe in before.",[],2022-08-05T04:48:56Z,@mrnobodyinvr9762
This teaches us to never trust a woman 😂,[],2022-08-04T17:52:00Z,@myron_ob7
"9:05 the dodge and uppercut after, the other guy literally flys away WTF",[],2022-07-31T14:05:27Z,@marvin9090
"Bruh, I know the dude was fast... But ain't no way homie that fast you sped that up 3:55.",[],2022-07-31T09:51:13Z,@gcelite36
🤔👀👀👀👀💥💯💯💯💯,[],2022-07-31T00:49:36Z,@eqescatel4310
Tyson got robbed against Buster,"['Agree, but he was definitely not prepared for that war, but when he knocked buster down, it was an extremely slow count']",2022-07-25T15:52:07Z,@younggod3906
